test_file	pre_sha256	post_sha256	changed
tests/unit/UT1.47_AuthorPolicy/test_author_policy.py	01a9af894a76	e6666f728292	Y
tests/unit/UT1.12_AuditEventShape/test_audit_event_shape.py	31df81d715cc	389f301862c8	Y
tests/unit/UT1.30_FileCopy/test_file_copy.py	23fe51291a1e	5a8004674d35	Y
tests/unit/UT1.65_VestigialGitMcpRoutes/test_vestigial_git_mcp_routes.py	4b52cbae5fb0	4b52cbae5fb0	N
tests/unit/UT1.57_UiSupportEndpoints/test_ui_support_endpoints.py	d6dd53d42924	7da5010c10ba	Y
tests/unit/UT1.31_FileDelete/test_file_delete.py	634fb665c7f7	3d75255bfca5	Y
tests/unit/UT1.68_A2aEventsGone/test_a2a_events_gone.py	b200928183e7	b200928183e7	N
tests/unit/UT1.55_JobsRuntime/test_jobs_runtime.py	4cfb82279f31	4cfb82279f31	N
tests/unit/UT1.51_RBACToolCategory/test_rbac_tool_category.py	e8e5a188b0d3	564226930968	Y
tests/unit/UT1.63_McpAnonAuthGate/test_mcp_anon_auth_gate.py	6f9634cb700e	6f9634cb700e	N
tests/unit/UT1.38_BranchList/test_branch_list.py	60272000e15f	ff0b37a0a053	Y
tests/unit/UT1.32_DirCreate/test_dir_create.py	70ff7fe7f2a2	4dd8272570a1	Y
tests/unit/UT1.39_BranchDelete/test_branch_delete.py	9f93af908826	d2958199194f	Y
tests/unit/UT1.53_EnterpriseAuthIntegration/test_enterprise_auth_integration.py	09b63fb8a07c	3ea7b180e352	Y
tests/unit/UT1.45_StashList/test_stash_list.py	29ec32e91ce3	9f6418284512	Y
tests/unit/UT1.37_SedLikeEdit/test_sed_like_edit.py	c1de1b269af8	68c915a30898	Y
tests/unit/UT1.56_ProfileScopedRBAC/test_profile_scoped_rbac.py	9069692d8bdf	7fc3a21668ba	Y
tests/unit/UT1.29_FileMove/test_file_move.py	80ce4483db70	390c9fd445ac	Y
tests/unit/UT1.4_ProfileModelValidation/test_profile_model_validation.py	b287796b4955	8517210457f8	Y
tests/unit/UT1.48_URLAllowlist/test_url_allowlist.py	01e397e0a04f	4c3e5b33075f	Y
tests/unit/UT1.8_WorkspaceLocking/test_workspace_locking.py	75fb61b309fb	32ffc70ae47c	Y
tests/unit/UT1.11_RBACPolicyEval/test_rbac_policy_eval.py	c07ef7dc6992	e86f24097673	Y
tests/unit/UT_LoggingSurfaceConfig/test_logging_surface_config.py	7818a606b351	7818a606b351	N
tests/unit/UT1.16_GitDiffGeneration/test_git_diff_generation.py	b5a54c589e62	486d0a92f69e	Y
tests/unit/UT1.64_ProfilePersistence/test_profile_persistence.py	81b26cd245f5	81b26cd245f5	N
tests/unit/UT1.10_ProtectedBranchPolicy/test_protected_branch_policy.py	fe76183402d0	8fc9eb9ecd17	Y
tests/unit/UT1.33_DirRemove/test_dir_remove.py	0c8229d6facf	1981eb0e2c73	Y
tests/unit/UT1.69_WorkspaceGc/test_workspace_gc.py	b663affb26ac	b663affb26ac	N
tests/unit/UT_AuditLogFormat/test_audit_log_format.py	13fbad4150c4	13fbad4150c4	N
tests/unit/UT1.3_ConfigValidation/test_config_validation.py	abecbc0d5e32	b409a643507f	Y
tests/unit/UT1.6_RefResolverTag/test_ref_resolver_tag.py	b320d251008d	96fe558187b1	Y
tests/unit/UT1.56_WebUiDelivery/test_web_ui_delivery.py	9114716cd0c3	9114716cd0c3	N
tests/unit/UT1.17_TagCRUD/test_tag_crud.py	43698bff3ea5	f1d079cefc44	Y
tests/unit/UT1.43_MergeNoFF/test_merge_no_ff.py	37e94bcfa834	f9debb7f3f56	Y
tests/unit/UT1.23_StructuredEditJSON/test_structured_edit_json.py	516cb428b0c7	ef1370f77aa2	Y
tests/unit/UT1.54_AdminCrudRuntime/test_admin_crud_runtime.py	75ecaa01a038	cc3505d5fd5b	Y
tests/unit/UT1.61_SettingsConfigSources/test_settings_config_sources.py	233607fdd573	c5fb6ad79639	Y
tests/unit/UT1.5_RefResolverBranch/test_ref_resolver_branch.py	51bdc3ac6b2d	1e4fa5bfccbb	Y
tests/unit/UT1.50_RecoveryListGetRestore/test_recovery_list_get_restore.py	3865ca1e849a	45d658d1e132	Y
tests/unit/UT1.26_A2AAuthValidatorParity/test_a2a_auth_validator_parity.py	8fab222119ed	0625cb87654d	Y
tests/unit/UT1.1_ConfigLoaderPrecedence/test_config_loader_precedence.py	ba0fda563529	b03819a15229	Y
tests/unit/UT1.28_FileDownload/test_file_download.py	edd9a700bd9c	7b1b35a504e7	Y
tests/unit/UT1.21_FileIOAtomicWrite/test_file_io_atomic_write.py	d93c4f043217	2ef4f8a214d9	Y
tests/unit/UT1.9_ScopeEnforcement/test_scope_enforcement.py	c07821599c52	44e56c1aed1e	Y
tests/unit/UT1.35_YAMLEdit/test_yaml_edit.py	921db701f379	795b4a6e942a	Y
tests/unit/UT1.60_WorkspaceEnumEndpoints/test_workspace_enum_endpoints.py	90983de2b09b	90983de2b09b	N
tests/unit/UT1.24_FileValidation/test_file_validation.py	17fdcd032677	5b1086367ae4	Y
tests/unit/UT1.58_A2AAllToolsSkillParity/test_a2a_all_tools_skill_parity.py	4a367c90682f	4a367c90682f	N
tests/unit/UT1.49_SessionHeartbeatTimeout/test_session_heartbeat_timeout.py	8c32af15879d	e7b77742ba19	Y
tests/unit/UT1.42_ForcePush/test_force_push.py	71847a908ed8	df7b89799da3	Y
tests/unit/UT1.36_XMLEdit/test_xml_html_edit.py	8aecd7e817d4	99a75c1e4e2b	Y
tests/unit/UT1.18_ConflictDetection/test_conflict_detection.py	28c051225db7	c7fb262e5843	Y
tests/unit/UT1.34_SearchFiles/test_search_files.py	3ec2e657474c	96eaae2c0aa0	Y
tests/unit/UT1.70_FlatRoleLogin/test_flat_role_mcp_tier.py	9244726c2344	26a45e6b2cd7	Y
tests/unit/UT1.70_FlatRoleLogin/test_flat_role_login.py	1018c7c0d60c	063ad2e169d8	Y
tests/unit/UT1.70_FlatRoleLogin/test_flat_role_api_keys.py	65486b19aa4d	b41c099c7e9b	Y
tests/unit/UT1.70_FlatRoleLogin/test_flat_role_api_authz.py	ffd3e1fbcbee	1d3c3b8ea3ae	Y
tests/unit/UT1.40_GitReset/test_git_reset.py	a76ed234922c	81f050504bf6	Y
tests/unit/UT1.44_MergeAbortContinue/test_merge_abort_continue.py	bea2c8e211e9	0a76e7f3a16c	Y
tests/unit/UT1.67_PerToolCallAudit/test_per_tool_call_audit.py	fd9e8f98955f	fd9e8f98955f	N
tests/unit/UT1.20_RecoveryStash/test_recovery_stash.py	4e4b3fb1ef92	09ae988a184f	Y
tests/unit/UT1.52_JWTAuthRuntime/test_jwt_auth_runtime.py	2ef8b6946a6a	bd7c74efbf62	Y
tests/unit/UT1.46_TagPush/test_tag_push.py	603da8971f17	f542d26eb709	Y
tests/unit/UT1.15_GitLogFiltering/test_git_log_filtering.py	82552a642c96	9af9e69a9240	Y
tests/unit/UT1.27_DatabaseAbstraction/test_database_abstraction.py	047aa5fc7f58	e371c7f29b32	Y
tests/unit/UT1.2_ConfigVaultIntegration/test_config_vault_integration.py	10900681bf99	e4fea6374e38	Y
tests/unit/UT1.22_FileSearchContent/test_file_search_content.py	2c1cc3a6fa81	77448d31e989	Y
tests/unit/UT1.7_RefResolverCommit/test_ref_resolver_commit.py	d36724728de9	16f0bb74dda7	Y
tests/unit/UT1.62_AdminPermissionsUnauthGate/test_admin_permissions_unauth_gate.py	c0a4d7dd4169	813c48492d20	Y
tests/unit/UT1.13_AuditRedaction/test_audit_redaction.py	9048a829b7c4	2f41a825e429	Y
tests/unit/UT1.25_ToolDefinitionSchemas/test_tool_definition_schemas.py	743264075882	7f5af9db4c3f	Y
tests/unit/UT1.41_GitPull/test_git_pull.py	38ed137123d7	ea2312a9102f	Y
tests/unit/UT1.14_GitStatusParsing/test_git_status_parsing.py	a6bca7304e18	b026b344e260	Y
tests/unit/UT1.19_ConflictResolution/test_conflict_resolution.py	922dc7cdaee1	42c60b474231	Y
tests/unit/UT1.66_AuthMeApiKeyPrincipal/test_auth_me_api_key_principal.py	5a3ec3a9d4e0	5a3ec3a9d4e0	N
tests/e2e/test_access_control_api_contract.py	412c6dbf5621	1547a6561179	Y
